14;0,755814
14,1;0,756694
14,2;0,757576
14,3;0,75846
14,4;0,759346
14,5;0,760234
14,6;0,761124
14,7;0,762016
14,8;0,762911
14,9;0,763807
15;0,764706
15,1;0,765607
15,2;0,766509
15,3;0,767414
15,4;0,768322
15,5;0,769231
15,6;0,770142
15,7;0,771056
15,8;0,771971
15,9;0,772889
16;0,77381
16,1;0,774732
16,2;0,775656
16,3;0,776583
16,4;0,777512
16,5;0,778443
16,6;0,779376
16,7;0,780312
16,8;0,78125
16,9;0,78219
17;0,783133
17,1;0,784077
17,2;0,785024
17,3;0,785973
17,4;0,786925
17,5;0,787879
17,6;0,788835
17,7;0,789793
17,8;0,790754
17,9;0,791717
18;0,792683
18,1;0,793651
18,2;0,794621
18,3;0,795594
18,4;0,796569
18,5;0,797546
18,6;0,798526
18,7;0,799508
18,8;0,800493
18,9;0,80148
19;0,802469
19,1;0,803461
19,2;0,804455
19,3;0,805452
19,4;0,806452
19,5;0,807453
19,6;0,808458
19,7;0,809465
19,8;0,810474
19,9;0,811486
20;0,8125
20,1;0,813517
20,2;0,814536
20,3;0,815558
20,4;0,816583
20,5;0,81761
20,6;0,81864
20,7;0,819672
20,8;0,820707
20,9;0,821745
21;0,822785
21,1;0,823828
21,2;0,824873
21,3;0,825921
21,4;0,826972
21,5;0,828025
21,6;0,829082
21,7;0,83014
21,8;0,831202
21,9;0,832266
22;0,833333
22,1;0,834403
22,2;0,835476
22,3;0,836551
22,4;0,837629
22,5;0,83871
22,6;0,839793
22,7;0,84088
22,8;0,841969
22,9;0,843061
23;0,844156
23,1;0,845254
23,2;0,846354
23,3;0,847458
23,4;0,848564
23,5;0,849673
23,6;0,850785
23,7;0,8519
23,8;0,853018
23,9;0,854139
24;0,855263
24,1;0,85639
24,2;0,85752
24,3;0,858653
24,4;0,859788
24,5;0,860927
24,6;0,862069
24,7;0,863214
24,8;0,864362
24,9;0,865513
25;0,866667
25,1;0,867824
25,2;0,868984
25,3;0,870147
25,4;0,871314
25,5;0,872483
25,6;0,873656
25,7;0,874832
25,8;0,876011
25,9;0,877193
26;0,878378
26,1;0,879567
26,2;0,880759
26,3;0,881954
26,4;0,883152
26,5;0,884354
26,6;0,885559
26,7;0,886767
26,8;0,887978
26,9;0,889193
27;0,890411
27,1;0,891632
27,2;0,892857
27,3;0,894085
27,4;0,895317
27,5;0,896552
27,6;0,89779
27,7;0,899032
27,8;0,900277
27,9;0,901526
28;0,902778
28,1;0,904033
28,2;0,905292
28,3;0,906555
28,4;0,907821
28,5;0,909091
28,6;0,910364
28,7;0,911641
28,8;0,912921
28,9;0,914205
29;0,915493
29,1;0,916784
29,2;0,918079
29,3;0,919378
29,4;0,92068
29,5;0,921986
29,6;0,923295
29,7;0,924609
29,8;0,925926
29,9;0,927247
30;0,928571
30,1;0,9299
30,2;0,931232
30,3;0,932568
30,4;0,933908
30,5;0,935252
30,6;0,936599
30,7;0,937951
30,8;0,939306
30,9;0,940666
31;0,942029
31,1;0,943396
31,2;0,944767
31,3;0,946143
31,4;0,947522
31,5;0,948905
31,6;0,950292
31,7;0,951684
31,8;0,953079
31,9;0,954479
32;0,955882
32,1;0,95729
32,2;0,958702
32,3;0,960118
32,4;0,961538
32,5;0,962963
32,6;0,964392
32,7;0,965825
32,8;0,967262
32,9;0,968703
33;0,970149
33,1;0,971599
33,2;0,973054
33,3;0,974513
33,4;0,975976
33,5;0,977444
33,6;0,978916
33,7;0,980392
33,8;0,981873
33,9;0,983359
34;0,984848
34,1;0,986343
34,2;0,987842
34,3;0,989346
34,4;0,990854
34,5;0,992366
34,6;0,993884
34,7;0,995406
34,8;0,996933
34,9;0,998464
35;1
35,1;1,001541
35,2;1,003086
35,3;1,004637
35,4;1,006192
35,5;1,007752
35,6;1,009317
35,7;1,010886
35,8;1,012461
35,9;1,014041
36;1,015625
36,1;1,017214
36,2;1,018809
36,3;1,020408
36,4;1,022013
36,5;1,023622
36,6;1,025237
36,7;1,026856
36,8;1,028481
36,9;1,030111
37;1,031746
37,1;1,033386
37,2;1,035032
37,3;1,036683
37,4;1,038339
37,5;1,04
37,6;1,041667
37,7;1,043339
37,8;1,045016
37,9;1,046699
38;1,048387
38,1;1,050081
38,2;1,05178
38,3;1,053485
38,4;1,055195
38,5;1,056911
38,6;1,058632
38,7;1,060359
38,8;1,062092
38,9;1,06383
39;1,065574
39,1;1,067323
39,2;1,069079
39,3;1,07084
39,4;1,072607
39,5;1,07438
39,6;1,076159
39,7;1,077944
39,8;1,079734
39,9;1,081531
40;1,083333
40,1;1,085142
40,2;1,086957
40,3;1,088777
40,4;1,090604
40,5;1,092437
40,6;1,094276
40,7;1,096121
40,8;1,097973
40,9;1,099831
41;1,101695
41,1;1,103565
41,2;1,105442
41,3;1,107325
41,4;1,109215
41,5;1,111111
41,6;1,113014
41,7;1,114923
41,8;1,116838
41,9;1,118761
42;1,12069
42,1;1,122625
42,2;1,124567
42,3;1,126516
42,4;1,128472
42,5;1,130435
42,6;1,132404
42,7;1,13438
42,8;1,136364
42,9;1,138354
43;1,140351
43,1;1,142355
43,2;1,144366
43,3;1,146384
43,4;1,14841
43,5;1,150442
43,6;1,152482
43,7;1,154529
43,8;1,156584
43,9;1,158645
44;1,160714
44,1;1,162791
44,2;1,164875
44,3;1,166966
44,4;1,169065
44,5;1,171171
44,6;1,173285
44,7;1,175407
44,8;1,177536
44,9;1,179673
45;1,181818
45,1;1,183971
45,2;1,186131
45,3;1,1883
45,4;1,190476
45,5;1,192661
45,6;1,194853
45,7;1,197053
45,8;1,199262
45,9;1,201479
46;1,203704
46,1;1,205937
46,2;1,208178
46,3;1,210428
46,4;1,212687
46,5;1,214953
46,6;1,217228
46,7;1,219512
46,8;1,221805
46,9;1,224105
47;1,226415
47,1;1,228733
47,2;1,231061
47,3;1,233397
47,4;1,235741
47,5;1,238095
47,6;1,240458
47,7;1,24283
47,8;1,245211
47,9;1,247601
48;1,25
48,1;1,252408
48,2;1,254826
48,3;1,257253
48,4;1,25969
48,5;1,262136
48,6;1,264591
48,7;1,267057
48,8;1,269531
48,9;1,272016
49;1,27451
49,1;1,277014
49,2;1,279528
49,3;1,282051
49,4;1,284585
49,5;1,287129
49,6;1,289683
49,7;1,292247
49,8;1,294821
49,9;1,297405
50;1,3
